FoodCode	Main.food.description	ModCode
11000000	Milk, human	0
11100000	Milk, NFS	0
11111000	Milk, cows, fluid, whole	0
11111100	Milk, cows, fluid, whole, low-sodium	0
11111150	Milk, calcium fortified, cows, fluid, whole	0
11111160	Milk, calcium fortified, cows, fluid, 1% fat	0
11111170	Milk, calcium fortified, cows, fluid, skim or nonfat	0
11112110	Milk, cows, fluid, 2% fat	0
11112120	Milk, cows, fluid, acidophilus, 1% fat	0
11112130	Milk, cows, fluid, acidophilus, 2% fat	0
11112210	Milk, cows, fluid, 1% fat	0
11113000	Milk, cows, fluid, skim or nonfat, 0.5% or less butterfat	0
11114300	Milk, cows, fluid, lactose reduced, 1% fat	0
11114310	Milk, cows, fluid, lactose reduced, 1% fat, fortified with calcium	0
11114320	Milk, cows, fluid, lactose reduced, nonfat	0
11114321	Milk, cows, fluid, lactose reduced, nonfat, fortified with calcium	0
11114330	Milk, cows, fluid, lactose reduced, 2% fat	0
11114350	Milk, cows, fluid, lactose reduced, whole	0
11115000	Buttermilk, fluid, nonfat	0
11115100	Buttermilk, fluid, 1% fat	0
11115200	Buttermilk, fluid, 2% fat	0
11115300	Buttermilk, fluid, whole	0
11116000	Milk, goats, fluid, whole	0
11120000	Milk, dry, reconstituted, NFS	0
11121100	Milk, dry, reconstituted, whole	0
11121210	Milk, dry, reconstituted, lowfat	0
11121300	Milk, dry, reconstituted, nonfat	0
11210050	Milk, evaporated, NS as to fat content (formerly NS as to dilution, used in coffee or tea, assume undiluted)	0
11211050	Milk, evaporated, whole (formerly NS as to dilution, used in coffee or tea)	0
11211400	Milk, evaporated, 2% fat (formerly NS as to dilution)	0
11212050	Milk, evaporated, skim (formerly NS as to dilution, used in coffee or tea)	0
11220000	Milk, condensed, sweetened (formerly NS as to dilution)	0
11320000	Milk, soy, ready-to-drink, not babys	0
11320100	Milk, soy, light, ready-to-drink, not babys	0
11320200	Milk, soy, nonfat, ready-to-drink, not babys	0
11321000	Milk, soy, ready-to-drink, not babys, chocolate	0
11321100	Milk, soy, light, ready-to-drink, not babys, chocolate	0
11321200	Milk, soy, nonfat, ready-to-drink, not babys, chocolate	0
11340000	Milk, imitation, fluid, non-soy, sweetened, flavors other than chocolate	0
11350000	Milk, almond, ready-to-drink	0
11350010	Milk, almond, ready-to-drink, chocolate	0
11410000	Yogurt, NS as to type of milk or flavor	0
11411010	Yogurt, plain, NS as to type of milk	0
11411100	Yogurt, plain, whole milk	0
11411200	Yogurt, plain, lowfat milk	0
11411300	Yogurt, plain, nonfat milk	0
11420000	Yogurt, vanilla, lemon, or coffee flavor, NS as to type of milk	0
11421000	Yogurt, vanilla, lemon, or coffee flavor, whole milk	0
11422000	Yogurt, vanilla, lemon, maple, or coffee flavor, lowfat milk	0
11422100	Yogurt, vanilla, lemon, maple, or coffee flavor, lowfat milk, sweetened with low calorie sweetener	0
11423000	Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk	0
11424000	Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk, sweetened with low calorie sweetener	0
11425000	Yogurt, chocolate, NS as to type of milk	0
11426000	Yogurt, chocolate, whole milk	0
11427000	Yogurt, chocolate, nonfat milk	0
11430000	Yogurt, fruit variety, NS as to type  of milk	0
11431000	Yogurt, fruit variety, whole milk	0
11432000	Yogurt, fruit variety, lowfat milk	0
11432500	Yogurt, fruit variety, lowfat milk, sweetened with low-calorie sweetener	0
11433000	Yogurt, fruit variety, nonfat milk	0
11433500	Yogurt, fruit variety, nonfat milk, sweetened with low-calorie sweetener	0
11446000	Fruit and lowfat yogurt parfait	0
11459990	Yogurt, frozen, NS as to flavor, NS as to type of milk	0
11460000	Yogurt, frozen, flavors other than chocolate, NS as to type of milk	0
11460100	Yogurt, frozen, chocolate, NS as to type of milk	0
11460150	Yogurt, frozen, NS as to flavor, lowfat milk	0
11460160	Yogurt, frozen, chocolate, lowfat milk	0
11460170	Yogurt, frozen, flavors other than chocolate, lowfat milk	0
11460190	Yogurt, frozen, NS as to flavor, nonfat milk	0
11460200	Yogurt, frozen, chocolate, nonfat milk	0
11460250	Yogurt, frozen, flavors other than chocolate, with sorbet or sorbet-coated	0
11460300	Yogurt, frozen, flavors other than chocolate, nonfat milk	0
11460400	Yogurt, frozen, chocolate, nonfat milk, with low-calorie sweetener	0
11460410	Yogurt, frozen, flavors other than chocolate, nonfat milk, with low-calorie sweetener	0
11460420	Yogurt, frozen, NS as to flavor, whole milk	0
11460430	Yogurt, frozen, chocolate, whole milk	0
11460440	Yogurt, frozen, flavors other than chocolate, whole milk	0
11461000	Yogurt, frozen, chocolate-coated	0
11461200	Yogurt, frozen, sandwich	0
11461250	Yogurt, frozen, cone, chocolate	0
11461260	Yogurt, frozen, cone, flavors other than chocolate	0
11461270	Yogurt, frozen, cone, flavors other than chocolate, lowfat milk	0
11461280	Yogurt, frozen, cone, chocolate, lowfat milk	0
11480010	Yogurt, whole milk, baby food	0
11480020	Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS	0
11480030	Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron	0
11480040	Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA	0
11511000	Milk, chocolate, NFS	0
11511100	Milk, chocolate, whole milk-based	0
11511200	Milk, chocolate, reduced fat milk-based, 2% (formerly lowfat)	0
11511300	Milk, chocolate, skim milk-based	0
11511400	Milk, chocolate, lowfat milk-based	0
11512000	Cocoa, hot chocolate, not from dry mix, made with whole milk	0
11512500	Hot chocolate, Puerto Rican style, made with whole milk	0
11512510	Hot chocolate, Puerto Rican style, made with low fat milk	0
11513000	Cocoa and sugar mixture, milk added, NS as to type of milk	0
11513100	Cocoa and sugar mixture, whole milk added	0
11513150	Cocoa and sugar mixture, reduced fat milk added	0
11513200	Cocoa and sugar mixture, lowfat milk added	0
11513300	Cocoa and sugar mixture, skim milk added	0
11513350	Cocoa and sugar mixture, reduced sugar, milk added, NS as to type of milk	0
11513355	Cocoa and sugar mixture, reduced sugar, whole milk added	0
11513360	Cocoa and sugar mixture, reduced sugar, reduced fat milk added	0
11513365	Cocoa and sugar mixture, reduced sugar, lowfat milk added	0
11513370	Cocoa and sugar mixture, reduced sugar, skim milk added	0
11513400	Chocolate syrup, milk added, NS as to type of milk	0
11513500	Chocolate syrup, whole milk added	0
11513550	Chocolate syrup, reduced fat milk added	0
11513600	Chocolate syrup, lowfat milk added	0
11513700	Chocolate syrup, skim milk added	0
11514100	Cocoa, sugar, and dry milk mixture, water added	0
11514300	Cocoa with nonfat dry milk and low calorie sweetener, mixture, water added	0
11514500	Cocoa, whey, and low calorie sweetener, mixture, fortified, water added	0
11515100	Cocoa and sugar mixture fortified with vitamins and minerals, milk added, NS as to type of milk, Puerto Rican style	0
11516000	Cocoa, whey, and low-calorie sweetener mixture, lowfat milk added	0
11518050	Milk beverage with nonfat dry milk and low calorie sweetener, water added, flavors other than chocolate	0
11519000	Milk beverage, made with whole milk, flavors other than chocolate	0
11519040	Milk, flavors other than chocolate, NFS	0
11519050	Milk, flavors other than chocolate, whole milk-based	0
11519105	Milk, flavors other than chocolate, reduced fat milk-based	0
11519200	Milk, flavors other than chocolate, lowfat milk-based	0
11519205	Milk, flavors other than chocolate, skim-milk based	0
11520000	Milk, malted, unfortified, NS as to flavor, made with milk	0
11521000	Milk, malted, unfortified, chocolate, made with milk	0
11522000	Milk, malted, unfortified, natural flavor, made with milk	0
11525000	Milk, malted, fortified, natural flavor, made with milk	0
11526000	Milk, malted, fortified, chocolate, made with milk	0
11527000	Milk, malted, fortified, NS as to flavor, made with milk	0
11531000	Eggnog, made with whole milk	0
11531500	Eggnog, made with 2% reduced fat milk (formerly eggnog, made with 2% lowfat milk)	0
11541000	Milk shake, NS as to flavor or type	0
11541100	Milk shake, homemade or fountain-type, NS as to flavor	0
