code	name
1	Milk and Milk Products
11	Milks and milk drinks
110	"Milk, human"
111	"Milk, fluid"
112	"Milk, fluid, evaporated and condensed"
113	"Milk, fluid, imitation"
114	Yogurt
1148	"Yogurt, baby food"
115	"Flavored milk and milk drinks, fluid"
117	"Infant formulas, fluid, reconstituted"
118	"Milk, dry, and powdered mixtures with"
12	Creams and cream substitutes
121	Sweet dairy cream
122	Cream substitutes
123	Sour cream
13	"Milk desserts, sauces, gravies"
131	"Milk desserts, frozen"
132	"Puddings, custards, and other milk"
133	Milk desserts baby food
134	White sauces and milk gravies
14	Cheeses
140	"Cheese, NS as to type"
141	Natural cheeses
142	Cottage cheeses
143	Cream cheeses
144	Processed cheeses and cheese spreads
145	Imitation cheeses
146	Cheese mixtures
147	Cheese soups
2	"Meat, Poultry, Fish, and Mixtures"
20	Meat
200	"Meat, NS as to type"
21	Beef
210	"Beef, NFS"
211	Beef steak
213	"Beef oxtails, neckbones, short ribs, head"
214	"Beef roasts, stew meat, corned beef, beef brisket, sandwich steaks"
215	"Ground beef, beef patties, beef meatballs"
216	Other beef items (beef bacon; dried beef; pastrami)
217	Beef baby food
22	Pork
220	"Pork, NFS; ground, dehydrated"
221	Pork chops
222	"Pork steaks, cutlets"
223	Ham
224	Pork roasts
225	Canadian bacon
226	"Bacon, salt pork"
227	Other pork items
228	Pork baby food
23	"Lamb, veal, game, other"
230	"Lamb, NFS"
231	Lamb and goat
232	Veal
233	Game
234	Lamb or veal baby food
24	Poultry
241	Chicken
242	Turkey
243	Duck
244	Other poultry
247	Poultry baby food
25	"Organ meats, sausages and lunchmeats"
251	Organ meats and mixtures
2511	Liver
2512	Hearts
2513	Kidney
2514	Sweetbreads
2515	Brains
2516	Tongue
2517	Other variety meats
252	"Frankfurters, sausages, lunchmeats, meat spreads"
2521	Frankfurters
2522	Sausages
2523	Luncheon meats
2524	"Potted meat,spreads"
26	Fish and shellfish
261	Finfish
262	Other seafood
263	Shellfish
27	"Meat,poultry, fish with nonmeat"
271	"meat,poultry,fish in gravy"
2711	Beef in gravy or sauce
2712	Pork with gravy or sauce
2713	Lamb and veal with gravy or sauce
2714	Poultry with gravy or sauce
2715	"Fish, shellfish with gravy or sauce"
2716	Miscellaneous meats with gravy or sauce
272	"Meat,poultry, fish with starch item"
2721	Beef with starch item
2722	Pork with starch item
2723	"Lamb, veal, game with starch item"
2724	Poultry with starch item
2725	"Fish, shellfish with starch item"
2726	Miscellaneous meats with starch item
273	"Meat,poultry, fish with starch item and vegetables"
2731	Beef with starch and vegetable
2732	Pork with starch and vegetable
2733	"Lamb, veal, game with starch and vegetable"
2734	Poultry with starch and vegetable
2735	"Fish, shellfish with starch and vegetable"
2736	Miscellaneous meats with starch and vegetable
274	"Meat, poultry, fish with vegetables"
2741	"Beef with vegetable, no potatoes"
2742	"Pork with vegetable, no potatoes"
2743	"Lamb, veal, game with vegetable, no potatoes"
2744	"Poultry with vegetables, no potatoes"
2745	"Fish, shellfish with vegetables, no potatoes"
2746	"Miscellaneous meats with vegetable, no potatoes"
275	"Sandwiches with meat, poultry, fish"
2751	Beef sandwiches
2752	Pork sandwiches
2754	Poultry sandwiches
2755	"Fish, shellfish sandwiches"
2756	"Frankfurters, luncheon meat, potted meat sandwiches"
2757	"Hors d'oeuvres, finger sandwiches"
276	"Meat, poultry, fish with nonmeat items baby food"
2761	Beef mixtures baby food
2764	Poultry mixtures baby food
28	"Frozen and shelf-stable plate meals, soups, and gravies"
281	"Frozen or shelf-stable plate meals with meat, poultry, fish"
2811	Beef frozen or shelf-stable meals
2813	Veal frozen or shelf-stable meals 
2814	Poultry frozen or shelf-stable meals
2815	"Fish,shellfish frozen meals"
2816	Miscellaneous meat frozen or shelf-stable meals
283	"Soups, broths, extracts from meat, poultry, fish base"
2831	Beef soups
2832	Pork soups
2833	Lamb soups
2834	"Poultry, soups"
28345	Poultry cream soups 
2835	"Fish,shellfish soups"
2836	Puerto Rican soups
284	Gelatin and gelatin-based meal supplements
285	"Gravies from meat, poultry, fish base"
3	Eggs
31	Eggs
311	Chicken eggs
312	Other poultry eggs
32	Egg mixtures
321	Egg dishes made with whole eggs
322	Egg sandwiches
323	Egg soups
324	Mixtures made with egg whites
33	Egg substitutes
330	"Egg substitute, NS as to form"
334	Mixtures made with egg substitutes
35	Frozen plate meals with egg as major
350	Frozen plate meals with egg as major
4	"Dry Beans, Peas, Other Legumes, Nuts, and Seeds"
41	Legumes
411	Dried beans
412	Dried beans mixtures
413	"Dried peas, lentils, and mixtures"
414	Soybean derived products (excluding milks)
416	Soups with legumes as major ingredient
418	"Meat substitutes, mainly legume protein"
419	Meat substitute sandwiches
42	"Nuts, nut butters, and nut mixtures"
421	Nuts
422	Nut butters
423	Nut butter sandwiches
424	Coconut beverages
425	Nut mixtures
43	Seeds and seed mixtures
431	Seeds
44	Carob products
441	"Carob powder, flour"
442	"Carob chips, syrup"
5	Grain Product
50	Flour and dry mixes
500	Flour and dry mixes
51	Yeast
510	"Bread,rolls,NFS"
511	"White breads, rolls"
512	"Whole wheat breads, rolls"
513	"Wheat, cracked wheat breads, rolls"
514	"Rye breads, rolls"
515	Oat breads
516	"Multigrain breads, rolls"
518	Other breads
52	Quick breads
521	Biscuits
522	"Cornbread, corn muffins, tortillas"
523	"Other muffins, popovers"
