FoodCodes	drxfcsd	Main.food.description	Old.Main.food.description	ModCode	FoodID
11121300	MILK, DRY, RECONSTITUTED, NONFAT	Milk_dry_reconstituted_nonfat	Milk, dry, reconstituted, nonfat	0	11121300.0
11122000	BUTTERMILK, DRY, RECONSTITUTED	Buttermilk_dry_reconstituted	Buttermilk, dry, reconstituted	0	11122000.0
11210050	MILK, EVAPORATED, NS AS TO FAT CONTENT	Milk_evaporated_NS_as_to_fat_content_formerly_NS_as_to_dilution_used_in_coffee_or_tea_assume_undiluted_	Milk, evaporated, NS as to fat content (formerly NS as to dilution, used in coffee or tea, assume undiluted)	0	11210050.0
11211050	MILK, EVAPORATED, WHOLE	Milk_evaporated_whole_formerly_NS_as_to_dilution_used_in_coffee_or_tea_	Milk, evaporated, whole (formerly NS as to dilution, used in coffee or tea)	0	11211050.0
11211400	MILK, EVAPORATED, 2% FAT	Milk_evaporated_2_fat_formerly_NS_as_to_dilution_	Milk, evaporated, 2% fat (formerly NS as to dilution)	0	11211400.0
11212050	MILK, EVAPORATED, SKIM	Milk_evaporated_skim_formerly_NS_as_to_dilution_used_in_coffee_or_tea_	Milk, evaporated, skim (formerly NS as to dilution, used in coffee or tea)	0	11212050.0
11220000	MILK, CONDENSED, SWEETENED	Milk_condensed_sweetened_formerly_NS_as_to_dilution_	Milk, condensed, sweetened (formerly NS as to dilution)	0	11220000.0
11320000	MILK, SOY, READY-TO-DRINK, NOT BABY	Milk_soy_ready_to_drink_not_babys	Milk, soy, ready-to-drink, not babys	0	11320000.0
11320100	MILK, SOY, LIGHT, READY-TO-DRINK, NOT BABYS	Milk_soy_light_ready_to_drink_not_babys	Milk, soy, light, ready-to-drink, not babys	0	11320100.0
11320200	MILK, SOY, NONFAT, READY-TO-DRINK, NOT BABYS	Milk_soy_nonfat_ready_to_drink_not_babys	Milk, soy, nonfat, ready-to-drink, not babys	0	11320200.0
11321000	MILK, SOY, READY-TO-DRINK, NOT BABYS, CHOCOLATE	Milk_soy_ready_to_drink_not_babys_chocolate	Milk, soy, ready-to-drink, not babys, chocolate	0	11321000.0
11321100	MILK, SOY, LIGHT, READY-TO-DRINK, NOT BABYS, CHOCOLATE	Milk_soy_light_ready_to_drink_not_babys_chocolate	Milk, soy, light, ready-to-drink, not babys, chocolate	0	11321100.0
11321200	MILK, SOY, NONFAT, READY-TO-DRINK, NOT BABYS, CHOCOLATE	Milk_soy_nonfat_ready_to_drink_not_babys_chocolate	Milk, soy, nonfat, ready-to-drink, not babys, chocolate	0	11321200.0
11340000	MILK,IMITATION,FLUID,NONSOY,SWEETENED,NOT CHOCOLATE	Milk_imitation_fluid_non_soy_sweetened_flavors_other_than_chocolate	Milk, imitation, fluid, non-soy, sweetened, flavors other than chocolate	0	11340000.0
11410000	YOGURT, NS AS TO TYPE OF MILK/FLAVOR	Yogurt_NS_as_to_type_of_milk_or_flavor	Yogurt, NS as to type of milk or flavor	0	11410000.0
11411010	YOGURT, PLAIN, NS AS TO TYPE OF MILK	Yogurt_plain_NS_as_to_type_of_milk	Yogurt, plain, NS as to type of milk	0	11411010.0
11411100	YOGURT, PLAIN, WHOLE MILK	Yogurt_plain_whole_milk	Yogurt, plain, whole milk	0	11411100.0
11411200	YOGURT, PLAIN, LOWFAT MILK	Yogurt_plain_lowfat_milk	Yogurt, plain, lowfat milk	0	11411200.0
11411300	YOGURT, PLAIN, NONFAT MILK	Yogurt_plain_nonfat_milk	Yogurt, plain, nonfat milk	0	11411300.0
11420000	YOGURT, VANILLA, LEMON, COFFEE, NS AS TO MILK TYPE	Yogurt_vanilla_lemon_or_coffee_flavor_NS_as_to_type_of_milk	Yogurt, vanilla, lemon, or coffee flavor, NS as to type of milk	0	11420000.0
11421000	YOGURT, VANILLA, LEMON, COFFEE, WHOLE MILK	Yogurt_vanilla_lemon_or_coffee_flavor_whole_milk	Yogurt, vanilla, lemon, or coffee flavor, whole milk	0	11421000.0
11422000	YOGURT, VANILLA, LEMON, COFFEE, LOWFAT MILK	Yogurt_vanilla_lemon_maple_or_coffee_flavor_lowfat_milk	Yogurt, vanilla, lemon, maple, or coffee flavor, lowfat milk	0	11422000.0
11423000	YOGURT, VANILLA, LEMON, COFFEE, NONFAT MILK	Yogurt_vanilla_lemon_maple_or_coffee_flavor_nonfat_milk	Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk	0	11423000.0
11424000	YOGURT, VANILLA, LEMON, COFFEE, NONFAT MILK, LOW CAL SWEET	Yogurt_vanilla_lemon_maple_or_coffee_flavor_nonfat_milk_sweetened_with_low_calorie_sweetener	Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk, sweetened with low calorie sweetener	0	11424000.0
11425000	YOGURT, CHOCOLATE, NS AS TO TYPE OF MILK	Yogurt_chocolate_NS_as_to_type_of_milk	Yogurt, chocolate, NS as to type of milk	0	11425000.0
11426000	YOGURT, CHOCOLATE, WHOLE MILK	Yogurt_chocolate_whole_milk	Yogurt, chocolate, whole milk	0	11426000.0
11427000	YOGURT, CHOCOLATE, NONFAT MILK	Yogurt_chocolate_nonfat_milk	Yogurt, chocolate, nonfat milk	0	11427000.0
11430000	YOGURT, FRUIT VARIETY, NS AS TO MILK TYPE	Yogurt_fruit_variety_NS_as_to_type_of_milk	Yogurt, fruit variety, NS as to type  of milk	0	11430000.0
11431000	YOGURT, FRUIT VARIETY, WHOLE MILK	Yogurt_fruit_variety_whole_milk	Yogurt, fruit variety, whole milk	0	11431000.0
11432000	YOGURT, FRUIT VARIETY, LOWFAT MILK	Yogurt_fruit_variety_lowfat_milk	Yogurt, fruit variety, lowfat milk	0	11432000.0
11432500	YOGURT, FRUIT VARIETY, LOWFAT MILK, W/ LOW CAL SWEETENER	Yogurt_fruit_variety_lowfat_milk_sweetened_with_low_calorie_sweetener	Yogurt, fruit variety, lowfat milk, sweetened with low-calorie sweetener	0	11432500.0
11433000	YOGURT, FRUIT VARIETY, NONFAT MILK	Yogurt_fruit_variety_nonfat_milk	Yogurt, fruit variety, nonfat milk	0	11433000.0
11433500	YOGURT, FRUITED, NONFAT MILK, LOW CAL SWEETENER	Yogurt_fruit_variety_nonfat_milk_sweetened_with_low_calorie_sweetener	Yogurt, fruit variety, nonfat milk, sweetened with low-calorie sweetener	0	11433500.0
11444000	YOGURT, FRUIT  NUTS, NS AS TO TYPE OF MILK	Yogurt_fruit_and_nuts_NS_as_to_type_of_milk	Yogurt, fruit and nuts, NS as to type of milk	0	11444000.0
11445000	YOGURT, FRUIT  NUTS, LOWFAT MILK	Yogurt_fruit_and_nuts_lowfat_milk	Yogurt, fruit and nuts, lowfat milk	0	11445000.0
11446000	FRUIT AND LOWFAT YOGURT PARFAIT	Fruit_and_lowfat_yogurt_parfait	Fruit and lowfat yogurt parfait	0	11446000.0
11459990	YOGURT, FROZEN, NS AS TO FLAVOR, NS TO TYPE OF MILK	Yogurt_frozen_NS_as_to_flavor_NS_as_to_type_of_milk	Yogurt, frozen, NS as to flavor, NS as to type of milk	0	11459990.0
11460000	YOGURT, FROZEN, NOT CHOCOLATE, TYPE OF MILK NS	Yogurt_frozen_flavors_other_than_chocolate_NS_as_to_type_of_milk	Yogurt, frozen, flavors other than chocolate, NS as to type of milk	0	11460000.0
11460100	YOGURT, FROZEN, CHOCOLATE, TYPE OF MILK NS	Yogurt_frozen_chocolate_NS_as_to_type_of_milk	Yogurt, frozen, chocolate, NS as to type of milk	0	11460100.0
11460150	YOGURT, FROZEN, NS AS TO FLAVOR, LOWFAT MILK	Yogurt_frozen_NS_as_to_flavor_lowfat_milk	Yogurt, frozen, NS as to flavor, lowfat milk	0	11460150.0
11460160	YOGURT, FROZEN, CHOCOLATE, LOWFAT MILK	Yogurt_frozen_chocolate_lowfat_milk	Yogurt, frozen, chocolate, lowfat milk	0	11460160.0
11460170	YOGURT, FROZEN, NOT CHOCOLATE, LOWFAT MILK	Yogurt_frozen_flavors_other_than_chocolate_lowfat_milk	Yogurt, frozen, flavors other than chocolate, lowfat milk	0	11460170.0
11460190	YOGURT, FROZEN, NS AS TO FLAVOR, NONFAT MILK	Yogurt_frozen_NS_as_to_flavor_nonfat_milk	Yogurt, frozen, NS as to flavor, nonfat milk	0	11460190.0
11460200	YOGURT, FROZEN, CHOCOLATE, NONFAT MILK	Yogurt_frozen_chocolate_nonfat_milk	Yogurt, frozen, chocolate, nonfat milk	0	11460200.0
11460250	YOGURT,FROZEN,NOT CHOCOLATE,W/ SORBET/SORBET-COATED	Yogurt_frozen_flavors_other_than_chocolate_with_sorbet_or_sorbet_coated	Yogurt, frozen, flavors other than chocolate, with sorbet or sorbet-coated	0	11460250.0
11460300	YOGURT, FROZEN, NOT CHOCOLATE, NONFAT MILK	Yogurt_frozen_flavors_other_than_chocolate_nonfat_milk	Yogurt, frozen, flavors other than chocolate, nonfat milk	0	11460300.0
11460400	YOGURT,FRZ,CHOCOLATE,NONFAT MILK,W/ LOW-CAL SWEET	Yogurt_frozen_chocolate_nonfat_milk_with_low_calorie_sweetener	Yogurt, frozen, chocolate, nonfat milk, with low-calorie sweetener	0	11460400.0
11460410	YOGURT,FRZ,NOT CHOC,NONFAT MILK,W/ LOW-CAL SWEET	Yogurt_frozen_flavors_other_than_chocolate_nonfat_milk_with_low_calorie_sweetener	Yogurt, frozen, flavors other than chocolate, nonfat milk, with low-calorie sweetener	0	11460410.0
11460420	YOGURT, FROZEN, NS AS TO FLAVOR, WHOLE MILK	Yogurt_frozen_NS_as_to_flavor_whole_milk	Yogurt, frozen, NS as to flavor, whole milk	0	11460420.0
11460430	YOGURT, FROZEN, CHOCOLATE, WHOLE MILK	Yogurt_frozen_chocolate_whole_milk	Yogurt, frozen, chocolate, whole milk	0	11460430.0
11460440	YOGURT, FROZEN, NOT CHOCOLATE, WHOLE MILK	Yogurt_frozen_flavors_other_than_chocolate_whole_milk	Yogurt, frozen, flavors other than chocolate, whole milk	0	11460440.0
11461000	YOGURT, FROZEN, CHOCOLATE-COATED	Yogurt_frozen_chocolate_coated	Yogurt, frozen, chocolate-coated	0	11461000.0
11461100	YOGURT, FROZEN, CAROB-COATED	Yogurt_frozen_carob_coated	Yogurt, frozen, carob-coated	0	11461100.0
11461200	YOGURT, FROZEN, SANDWICH	Yogurt_frozen_sandwich	Yogurt, frozen, sandwich	0	11461200.0
11461250	YOGURT, FROZEN, CONE, CHOCOLATE	Yogurt_frozen_cone_chocolate	Yogurt, frozen, cone, chocolate	0	11461250.0
11461260	YOGURT, FROZEN, CONE, NOT CHOCOLATE	Yogurt_frozen_cone_flavors_other_than_chocolate	Yogurt, frozen, cone, flavors other than chocolate	0	11461260.0
11461270	YOGURT, FROZEN, CONE, NOT CHOCOLATE, LOWFAT MILK	Yogurt_frozen_cone_flavors_other_than_chocolate_lowfat_milk	Yogurt, frozen, cone, flavors other than chocolate, lowfat milk	0	11461270.0
11461280	YOGURT, FROZ, CONE, CHOCOLATE, LOWFAT MILK	Yogurt_frozen_cone_chocolate_lowfat_milk	Yogurt, frozen, cone, chocolate, lowfat milk	0	11461280.0
11480010	YOGURT, WHOLE MILK, BF	Yogurt_whole_milk_baby_food	Yogurt, whole milk, baby food	0	11480010.0
11480020	YOGURT, WHOLE MILK, BF, W/FRUIT MULTIGRAIN CEREAL,NFS	Yogurt_whole_milk_baby_food_with_fruit_and_multigrain_cereal_puree_NFS	Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS	0	11480020.0
11480030	YOGURT, WHOLE MILK, BF, W/FRUITMULTIGRAIN CEREAL + IRON	Yogurt_whole_milk_baby_food_with_fruit_and_multigrain_cereal_puree_plus_iron	Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron	0	11480030.0
11480040	YOGURT, WHOLE MILK, BF, W/FRUITMULTIGRAIN CEREAL + DHA	Yogurt_whole_milk_baby_food_with_fruit_and_multigrain_cereal_puree_plus_DHA	Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA	0	11480040.0
11511000	MILK, CHOCOLATE, NFS	Milk_chocolate_NFS	Milk, chocolate, NFS	0	11511000.0
11511100	MILK, CHOCOLATE, WHOLE MILK BASED	Milk_chocolate_whole_milk_based	Milk, chocolate, whole milk-based	0	11511100.0
11511200	MILK, CHOCOLATE, RED FAT, 2%	Milk_chocolate_reduced_fat_milk_based_2_formerly_lowfat_	Milk, chocolate, reduced fat milk-based, 2% (formerly lowfat)	0	11511200.0
11511300	MILK, CHOCOLATE, SKIM MILK BASED	Milk_chocolate_skim_milk_based	Milk, chocolate, skim milk-based	0	11511300.0
11511400	MILK, CHOCOLATE, LOWFAT MILK BASED	Milk_chocolate_lowfat_milk_based	Milk, chocolate, lowfat milk-based	0	11511400.0
11512000	COCOA,HOT CHOCOLATE,NOT FROM DRY MIX, W/WHOLE MILK	Cocoa_hot_chocolate_not_from_dry_mix_made_with_whole_milk	Cocoa, hot chocolate, not from dry mix, made with whole milk	0	11512000.0
11512500	HOT CHOCOLATE, P.R., MADE W/ WHOLE MILK	Hot_chocolate_Puerto_Rican_style_made_with_whole_milk	Hot chocolate, Puerto Rican style, made with whole milk	0	11512500.0
11512510	HOT CHOCOLATE, P.R., MADE W/ LOW FAT MILK	Hot_chocolate_Puerto_Rican_style_made_with_low_fat_milk	Hot chocolate, Puerto Rican style, made with low fat milk	0	11512510.0
11513000	COCOA  SUGAR MIXTURE, MILK ADDED, NS TYPE MILK	Cocoa_and_sugar_mixture_milk_added_NS_as_to_type_of_milk	Cocoa and sugar mixture, milk added, NS as to type of milk	0	11513000.0
11513100	COCOA  SUGAR MIXTURE, WHOLE MILK ADDED	Cocoa_and_sugar_mixture_whole_milk_added	Cocoa and sugar mixture, whole milk added	0	11513100.0
11513150	COCOA  SUGAR MIXTURE, REDUCED FAT MILK ADDED	Cocoa_and_sugar_mixture_reduced_fat_milk_added	Cocoa and sugar mixture, reduced fat milk added	0	11513150.0
11513200	COCOA  SUGAR MIXTURE, LOWFAT MILK ADDED	Cocoa_and_sugar_mixture_lowfat_milk_added	Cocoa and sugar mixture, lowfat milk added	0	11513200.0
11513300	COCOA  SUGAR MIXTURE, SKIM MILK ADDED	Cocoa_and_sugar_mixture_skim_milk_added	Cocoa and sugar mixture, skim milk added	0	11513300.0
11513400	CHOCOLATE SYRUP, MILK ADDED, NS AS TO TYPE OF MILK	Chocolate_syrup_milk_added_NS_as_to_type_of_milk	Chocolate syrup, milk added, NS as to type of milk	0	11513400.0
11513500	CHOCOLATE SYRUP, WHOLE MILK ADDED	Chocolate_syrup_whole_milk_added	Chocolate syrup, whole milk added	0	11513500.0
11513550	CHOCOLATE SYRUP, RED FAT MILK ADDED	Chocolate_syrup_reduced_fat_milk_added	Chocolate syrup, reduced fat milk added	0	11513550.0
11513600	CHOCOLATE SYRUP, LOWFAT MILK ADDED	Chocolate_syrup_lowfat_milk_added	Chocolate syrup, lowfat milk added	0	11513600.0
11513700	CHOCOLATE SYRUP, SKIM MILK ADDED	Chocolate_syrup_skim_milk_added	Chocolate syrup, skim milk added	0	11513700.0
11514100	COCOA, SUGAR,  DRY MILK MIXTURE, WATER ADDED	Cocoa_sugar_and_dry_milk_mixture_water_added	Cocoa, sugar, and dry milk mixture, water added	0	11514100.0
11514300	COCOA W/ NF DRY MILK, LO CAL SWEETENER, WATER ADDED	Cocoa_with_nonfat_dry_milk_and_low_calorie_sweetener_mixture_water_added	Cocoa with nonfat dry milk and low calorie sweetener, mixture, water added	0	11514300.0
11514500	COCOA W/ WHEY, LO CAL SWEETNR, FORTIFD, WATER ADDED	Cocoa_whey_and_low_calorie_sweetener_mixture_fortified_water_added	Cocoa, whey, and low calorie sweetener, mixture, fortified, water added	0	11514500.0
11515100	COCOA  SUGAR W/ MILK, FORTIFIED, PUERTO RICAN	Cocoa_and_sugar_mixture_fortified_with_vitamins_and_minerals_milk_added_NS_as_to_type_of_milk_Puerto_Rican_style	Cocoa and sugar mixture fortified with vitamins and minerals, milk added, NS as to type of milk, Puerto Rican style	0	11515100.0
11515400	COCOA W/ NFDM, LOW CALORIE, HI CALCIUM, WATER ADDED	Cocoa_with_nonfat_dry_milk_and_low_calorie_sweetener_high_calcium_water_added	Cocoa with nonfat dry milk and low calorie sweetener, high calcium, water added	0	11515400.0
11516000	COCOA, WHEY, LO CAL SWEETNER MIX, LOWFAT MILK ADDED	Cocoa_whey_and_low_calorie_sweetener_mixture_lowfat_milk_added	Cocoa, whey, and low-calorie sweetener mixture, lowfat milk added	0	11516000.0
11518000	MILK BEV W/ NF DRY MLK, LO CAL SWEET, WATER, CHOC	Milk_beverage_with_nonfat_dry_milk_and_low_calorie_sweetener_water_added_chocolate	Milk beverage with nonfat dry milk and low calorie sweetener, water added, chocolate	0	11518000.0
11518050	MILK BEV W/NF DRY MILK, LO CAL SWEET,WATER,NOT CHOC	Milk_beverage_with_nonfat_dry_milk_and_low_calorie_sweetener_water_added_flavors_other_than_chocolate	Milk beverage with nonfat dry milk and low calorie sweetener, water added, flavors other than chocolate	0	11518050.0
11518100	MILK BEV W/NFD MILK, LO CAL SWEET, HI CALCIUM, CHOC	Milk_beverage_with_nonfat_dry_milk_and_low_calorie_sweetener_high_calcium_water_added_chocolate	Milk beverage with nonfat dry milk and low calorie sweetener, high calcium, water added, chocolate	0	11518100.0
11519000	MILK BEVERAGE, NOT CHOCOLATE, W/ WHOLE MILK	Milk_beverage_made_with_whole_milk_flavors_other_than_chocolate	Milk beverage, made with whole milk, flavors other than chocolate	0	11519000.0
11519040	MILK, FLAVORS OTHER THAN CHOCOLATE, NFS	Milk_flavors_other_than_chocolate_NFS	Milk, flavors other than chocolate, NFS	0	11519040.0
11519050	MILK, NOT CHOCOLATE, WHOLE MILK BASED	Milk_flavors_other_than_chocolate_whole_milk_based	Milk, flavors other than chocolate, whole milk-based	0	11519050.0
11519105	MILK, FLAVORS OTHER THAN CHOCOLATE, REDUCED FAT MILK-BASED	Milk_flavors_other_than_chocolate_reduced_fat_milk_based	Milk, flavors other than chocolate, reduced fat milk-based	0	11519105.0
11519200	MILK, FLAVORS OTHER THAN CHOCOLATE, LOWFAT MILK-BASED	Milk_flavors_other_than_chocolate_lowfat_milk_based	Milk, flavors other than chocolate, lowfat milk-based	0	11519200.0
11519205	MILK, FLAVORS OTHER THAN CHOCOLATE, SKIM-MILK BASED	Milk_flavors_other_than_chocolate_skim_milk_based	Milk, flavors other than chocolate, skim-milk based	0	11519205.0
11520000	MILK, MALTED, UNFORTIFIED, FLAVOR NS	Milk_malted_unfortified_NS_as_to_flavor_made_with_milk	Milk, malted, unfortified, NS as to flavor, made with milk	0	11520000.0
11521000	MILK, MALTED, UNFORTIFIED, CHOCOLATE FLAVOR	Milk_malted_unfortified_chocolate_made_with_milk	Milk, malted, unfortified, chocolate, made with milk	0	11521000.0
11522000	MILK, MALTED, UNFORTIFIED, NATURAL FLAVOR	Milk_malted_unfortified_natural_flavor_made_with_milk	Milk, malted, unfortified, natural flavor, made with milk	0	11522000.0
11525000	MILK,MALTED,FORTIFIED,NATURAL FLAVOR (INCL OVALTINE	Milk_malted_fortified_natural_flavor_made_with_milk	Milk, malted, fortified, natural flavor, made with milk	0	11525000.0
11526000	MILK, MALTED, FORTIFIED, CHOCOLATE (INCL OVALTINE)	Milk_malted_fortified_chocolate_made_with_milk	Milk, malted, fortified, chocolate, made with milk	0	11526000.0
11527000	MILK, MALTED, FORTIFIED, (INCL OVALTINE)	Milk_malted_fortified_NS_as_to_flavor_made_with_milk	Milk, malted, fortified, NS as to flavor, made with milk	0	11527000.0
11531000	EGGNOG, MADE W/ WHOLE MILK (INCLUDE EGG NOG, NFS)	Eggnog_made_with_whole_milk	Eggnog, made with whole milk	0	11531000.0
11531500	EGGNOG, MADE W/ 2% REDUCED FAT MILK	Eggnog_made_with_2_reduced_fat_milk_formerly_eggnog_made_with_2_lowfat_milk_	Eggnog, made with 2% reduced fat milk (formerly eggnog, made with 2% lowfat milk)	0	11531500.0
11541000	MILK SHAKE, NS AS TO FLAVOR OR TYPE	Milk_shake_NS_as_to_flavor_or_type	Milk shake, NS as to flavor or type	0	11541000.0
11541100	MILK SHAKE,HOMEMADE/ FOUNTAIN-TYPE, NS AS TO FLAVOR	Milk_shake_homemade_or_fountain_type_NS_as_to_flavor	Milk shake, homemade or fountain-type, NS as to flavor	0	11541100.0
11541110	MILK SHAKE, HOMEMADE OR FOUNTAIN-TYPE, CHOCOLATE	Milk_shake_homemade_or_fountain_type_chocolate	Milk shake, homemade or fountain-type, chocolate	0	11541110.0
11541120	MILK SHAKE, HOMEMADE/FOUNTAIN-TYPE, NOT CHOCOLATE	Milk_shake_homemade_or_fountain_type_flavors_other_than_chocolate	Milk shake, homemade or fountain-type, flavors other than chocolate	0	11541120.0
11541400	MILK SHAKE WITH MALT (INCL MALTED MILK W/ICE CREAM)	Milk_shake_with_malt	Milk shake with malt	0	11541400.0
11541500	MILK SHAKE, MADE W/ SKIM MILK, CHOCOLATE	Milk_shake_made_with_skim_milk_chocolate	Milk shake, made with skim milk, chocolate	0	11541500.0
11541510	MILK SHAKE,MADE W/ SKIM MILK, NOT CHOCOLATE	Milk_shake_made_with_skim_milk_flavors_other_than_chocolate	Milk shake, made with skim milk, flavors other than chocolate	0	11541510.0
11542000	CARRY-OUT MILK SHAKE, NS AS TO FLAVOR	Carry_out_milk_shake_NS_as_to_flavor	Carry-out milk shake, NS as to flavor	0	11542000.0
11542100	CARRY-OUT MILK SHAKE, CHOCOLATE	Carry_out_milk_shake_chocolate	Carry-out milk shake, chocolate	0	11542100.0
11542200	CARRY-OUT MILK SHAKE, NOT CHOCOLATE	Carry_out_milk_shake_flavors_other_than_chocolate	Carry-out milk shake, flavors other than chocolate	0	11542200.0
11551050	MILK FRUIT DRINK (INCL LICUADO)	Milk_fruit_drink	Milk fruit drink	0	11551050.0
11552200	ORANGE JULIUS	Orange_Julius	Orange Julius	0	11552200.0
11553000	FRUIT SMOOTHIE DRINK, W/ FRUIT OR JUICE  DAIRY PRODUCTS	Fruit_smoothie_drink_made_with_fruit_or_fruit_juice_and_dairy_products	Fruit smoothie drink, made with fruit or fruit juice and dairy products	0	11553000.0
11553100	FRUIT SMOOTHIE DRINK, NFS	Fruit_smoothie_drink_NFS	Fruit smoothie drink, NFS	0	11553100.0
11560000	CHOC-FLAVORED DRINK, WHEY-MILK-BASED(INCL YOO-HOO)	Chocolate_flavored_drink_whey_and_milk_based	Chocolate-flavored drink, whey- and milk-based	0	11560000.0
11560020	MILK DRINK, WHEYMILK-BASE, NOT CHOC (INCL YOO-HOO)	Flavored_milk_drink_whey_and_milk_based_flavors_other_than_chocolate	Flavored milk drink, whey- and milk-based, flavors other than chocolate	0	11560020.0
11561000	CAFE CON LECHE	Cafe_con_leche	Cafe con leche	0	11561000.0
11561010	CAFE CON LECHE PREPARED W/ SUGAR	Cafe_con_leche_prepared_with_sugar	Cafe con leche prepared with sugar	0	11561010.0
11611000	INSTANT BREAKFAST, FLUID, CANNED	Instant_breakfast_fluid_canned	Instant breakfast, fluid, canned	0	11611000.0
11612000	INSTANT BREAKFAST, POWDER, MILK ADDED	Instant_breakfast_powder_milk_added	Instant breakfast, powder, milk added	0	11612000.0
