FoodCode	Main.food.description
11000000	Milk_human
11100000	Milk_NFS
11111000	Milk_whole
11111100	Milk_low_sodium_whole
11111150	Milk_calcium_fortified_whole
11111160	Milk_calcium_fortified_low_fat_1
11111170	Milk_calcium_fortified_fat_free_skim
11112110	Milk_reduced_fat_2
11112120	Milk_acidophilus_low_fat_1
11112130	Milk_acidophilus_reduced_fat_2
11112210	Milk_low_fat_1
11113000	Milk_fat_free_skim
11114300	Milk_lactose_free_low_fat_1
11114320	Milk_lactose_free_fat_free_skim
11114330	Milk_lactose_free_reduced_fat_2
11114350	Milk_lactose_free_whole
11115000	Buttermilk_fat_free_skim
11115100	Buttermilk_low_fat_1
11115200	Buttermilk_reduced_fat_2
11115300	Buttermilk_whole
11115400	Kefir_NS_as_to_fat_content
11116000	Goats_milk_whole
11120000	Milk_dry_reconstituted_NS_as_to_fat_content
11121100	Milk_dry_reconstituted_whole
11121210	Milk_dry_reconstituted_low_fat_1
11121300	Milk_dry_reconstituted_fat_free_skim
11210050	Milk_evaporated_NS_as_to_fat_content
11211050	Milk_evaporated_whole
11211400	Milk_evaporated_reduced_fat_2
11212050	Milk_evaporated_fat_free_skim
11220000	Milk_condensed_sweetened
11320000	Soy_milk
11320100	Soy_milk_light
11320200	Soy_milk_nonfat
11321000	Soy_milk_chocolate
11321100	Soy_milk_light_chocolate
11321200	Soy_milk_nonfat_chocolate
11340000	Imitation_milk_nonsoy_sweetened
11350000	Almond_milk_sweetened
11350010	Almond_milk_sweetened_chocolate
11350020	Almond_milk_unsweetened
11350030	Almond_milk_unsweetened_chocolate
11360000	Rice_milk
11370000	Coconut_milk
11410000	Yogurt_NS_as_to_type_of_milk_or_flavor
11411010	Yogurt_plain_NS_as_to_type_of_milk
11411100	Yogurt_plain_whole_milk
11411200	Yogurt_plain_low_fat_milk
11411300	Yogurt_plain_nonfat_milk
11411400	Yogurt_Greek_plain_whole_milk
11411410	Yogurt_Greek_plain_low_fat
11411420	Yogurt_Greek_plain_nonfat_milk
11420000	Yogurt_vanilla_NS_as_to_type_of_milk
11421000	Yogurt_vanilla_whole_milk
11422000	Yogurt_vanilla_low_fat_milk
11422100	Yogurt_vanilla_low_fat_milk_light
11423000	Yogurt_vanilla_nonfat_milk
11424000	Yogurt_vanilla_nonfat_milk_light
11424500	Yogurt_Greek_vanilla_whole_milk
11424510	Yogurt_Greek_vanilla_low_fat
11424520	Yogurt_Greek_vanilla_nonfat
11425000	Yogurt_chocolate_NS_as_to_type_of_milk
11426000	Yogurt_chocolate_whole_milk
11427000	Yogurt_chocolate_nonfat_milk
11428000	Yogurt_Greek_chocolate_nonfat
11430000	Yogurt_fruit_NS_as_to_type_of_milk
11431000	Yogurt_fruit_whole_milk
11432000	Yogurt_fruit_low_fat_milk
11432500	Yogurt_fruit_low_fat_milk_light
11433000	Yogurt_fruit_nonfat_milk
11433500	Yogurt_fruit_nonfat_milk_light
11434000	Yogurt_Greek_fruit_whole_milk
11434010	Yogurt_Greek_fruit_low_fat
11434020	Yogurt_Greek_fruit_nonfat
11446000	Fruit_and_low_fat_yogurt_parfait
11459990	Yogurt_frozen_NS_as_to_flavor_NS_as_to_type_of_milk
11460000	Yogurt_frozen_flavors_other_than_chocolate_NS_as_to_type_of_milk
11460100	Yogurt_frozen_chocolate_NS_as_to_type_of_milk
11460150	Yogurt_frozen_NS_as_to_flavor_lowfat_milk
11460160	Yogurt_frozen_chocolate_lowfat_milk
11460170	Yogurt_frozen_flavors_other_than_chocolate_lowfat_milk
11460190	Yogurt_frozen_NS_as_to_flavor_nonfat_milk
11460200	Yogurt_frozen_chocolate_nonfat_milk
11460250	Yogurt_frozen_flavors_other_than_chocolate_with_sorbet_or_sorbetcoated
11460300	Yogurt_frozen_flavors_other_than_chocolate_nonfat_milk
11460400	Yogurt_frozen_chocolate_nonfat_milk_with_lowcalorie_sweetener
11460410	Yogurt_frozen_flavors_other_than_chocolate_nonfat_milk_with_lowcalorie_sweetener
11460420	Yogurt_frozen_NS_as_to_flavor_whole_milk
11460430	Yogurt_frozen_chocolate_whole_milk
11460440	Yogurt_frozen_flavors_other_than_chocolate_whole_milk
11461000	Yogurt_frozen_chocolatecoated
11461200	Yogurt_frozen_sandwich
11461250	Yogurt_frozen_cone_chocolate
11461260	Yogurt_frozen_cone_flavors_other_than_chocolate
11461270	Yogurt_frozen_cone_flavors_other_than_chocolate_lowfat_milk
11461280	Yogurt_frozen_cone_chocolate_lowfat_milk
11480010	Yogurt_whole_milk_baby_food
11480020	Yogurt_whole_milk_baby_food_with_fruit_and_multigrain_cereal_puree_NFS
11480030	Yogurt_whole_milk_baby_food_with_fruit_and_multigrain_cereal_puree_plus_iron
11480040	Yogurt_whole_milk_baby_food_with_fruit_and_multigrain_cereal_puree_plus_DHA
11511000	Chocolate_milk_NFS
11511100	Chocolate_milk_ready_to_drink_whole
11511200	Chocolate_milk_ready_to_drink_reduced_fat_2
11511300	Chocolate_milk_ready_to_drink_fat_free_skim
11511400	Chocolate_milk_ready_to_drink_low_fat_1
11511550	Chocolate_milk_ready_to_drink_reduced_sugar_NS_as_to_milk
11511600	Nesquik_chocolate_milk_ready_to_drink_low_fat_1
11511610	Nesquik_chocolate_milk_ready_to_drink_fat_free_skim
11511700	Nesquik_chocolate_milk_ready_to_drink_low_fat_1_no_sugar_added
11512010	Hot_chocolate__Cocoa_ready_to_drink
11512020	Hot_chocolate__Cocoa_ready_to_drink_made_with_nonfat_milk
11512030	Hot_chocolate__Cocoa_ready_to_drink_made_with_nondairy_milk
11512100	Hot_chocolate__Cocoa_ready_to_drink_with_whipped_cream
11512110	Hot_chocolate__Cocoa_ready_to_drink_made_with_nonfat_milk_and_whipped_cream
11512120	Hot_chocolate__Cocoa_ready_to_drink_made_with_nondairy_milk_and_whipped_cream
11513000	Chocolate_milk_made_from_dry_mix_NS_as_to_type_of_milk
11513100	Chocolate_milk_made_from_dry_mix_with_whole_milk
11513150	Chocolate_milk_made_from_dry_mix_with_reduced_fat_milk_2
11513200	Chocolate_milk_made_from_dry_mix_with_low_fat_milk_1
11513300	Chocolate_milk_made_from_dry_mix_with_fat_free_milk_skim
11513310	Chocolate_milk_made_from_dry_mix_with_nondairy_milk
11513350	Chocolate_milk_made_from_reduced_sugar_mix_NS_as_to_type_of_milk
11513355	Chocolate_milk_made_from_reduced_sugar_mix_with_whole_milk
11513360	Chocolate_milk_made_from_reduced_sugar_mix_with_reduced_fat_milk_2
11513365	Chocolate_milk_made_from_reduced_sugar_mix_with_low_fat_milk_1
11513370	Chocolate_milk_made_from_reduced_sugar_mix_with_fat_free_milk_skim
11513375	Chocolate_milk_made_from_reduced_sugar_mix_with_nondairy_milk
11513380	Nesquik_chocolate_milk_made_from_dry_mix_NS_as_to_type_of_milk
11513381	Nesquik_chocolate_milk_made_from_dry_mix_with_whole_milk
11513382	Nesquik_chocolate_milk_made_from_dry_mix_with_reduced_fat_milk_2
11513383	Nesquik_chocolate_milk_made_from_dry_mix_with_low_fat_milk_1
11513384	Nesquik_chocolate_milk_made_from_dry_mix_with_fat_free_milk_skim
11513385	Nesquik_chocolate_milk_made_from_dry_mix_with_nondairy_milk
11513390	Nesquik_chocolate_milk_made_from_no_sugar_added_dry_mix_NS_as_to_type_of_milk
11513391	Nesquik_chocolate_milk_made_from_no_sugar_added_dry_mix_with_whole_milk
11513392	Nesquik_chocolate_milk_made_from_no_sugar_added_dry_mix_with_reduced_fat_milk_2
11513393	Nesquik_chocolate_milk_made_from_no_sugar_added_dry_mix_with_low_fat_milk_1
11513394	Nesquik_chocolate_milk_made_from_no_sugar_added_dry_mix_with_fat_free_milk_skim
11513395	Nesquik_chocolate_milk_made_from_no_sugar_added_dry_mix_with_nondairy_milk
11513400	Chocolate_milk_made_from_syrup_NS_as_to_type_of_milk
11513500	Chocolate_milk_made_from_syrup_with_whole_milk
11513550	Chocolate_milk_made_from_syrup_with_reduced_fat_milk_2
11513600	Chocolate_milk_made_from_syrup_with_low_fat_milk_1
11513700	Chocolate_milk_made_from_syrup_with_fat_free_milk_skim
11513750	Chocolate_milk_made_from_syrup_with_nondairy_milk
11513800	Chocolate_milk_made_from_light_syrup_NS_as_to_type_of_milk
11513801	Chocolate_milk_made_from_light_syrup_with_whole_milk
11513802	Chocolate_milk_made_from_light_syrup_with_reduced_fat_milk_2
11513803	Chocolate_milk_made_from_light_syrup_with_low_fat_milk_1
11513804	Chocolate_milk_made_from_light_syrup_with_fat_free_milk_skim
11513805	Chocolate_milk_made_from_light_syrup_with_nondairy_milk
11513850	Chocolate_milk_made_from_sugar_free_syrup_NS_as_to_type_of_milk
11513851	Chocolate_milk_made_from_sugar_free_syrup_with_whole_milk
11513852	Chocolate_milk_made_from_sugar_free_syrup_with_reduced_fat_milk_2
11513853	Chocolate_milk_made_from_sugar_free_syrup_with_low_fat_milk_1
11513854	Chocolate_milk_made_from_sugar_free_syrup_with_fat_free_milk_skim
11513855	Chocolate_milk_made_from_sugar_free_syrup_with_nondairy_milk
11514100	Hot_chocolate__Cocoa_made_with_dry_mix_and_water
11514110	Hot_chocolate__Cocoa_made_with_dry_mix_and_whole_milk
11514120	Hot_chocolate__Cocoa_made_with_dry_mix_and_reduced_fat_milk_2
