Food.code	Description
92306020	Tea, herbal, presweetened with sugar
92302200	Tea, leaf, presweetened with sugar
92301060	Tea, NS as to type, presweetened with sugar
92302300	Tea, leaf, presweetened with low calorie sweetener
92511010	Fruit flavored drink (formerly lemonade)
75316010	Zucchini with tomato sauce, cooked, fat not added in cooking
75221210	Parsley, cooked (assume fat not added in cooking)
92301130	Tea, NS as to type, presweetened, NS as to sweetener
51201060	Bread, whole wheat, 100%, made from home recipe or purchased at bakery
58151130	Sushi, with vegetables and seafood
51151060	Roll, white, soft, made from home recipe or purchased at a bakery
51220000	Roll, whole wheat, 100%
51201150	Bread, pita, whole wheat, 100%
11553000	Fruit smoothie drink, made with fruit or fruit juice and dairy products
64134000	Fruit smoothie drink, made with fruit or fruit juice only (no dairy products)
92305000	Tea, made from powdered instant, presweetened, NS as to sweetener
11514300	Cocoa with nonfat dry milk and low calorie sweetener, mixture, water added
51201010	Bread, whole wheat, 100%
92105010	Coffee, made from liquid concentrate
11541500	Milk shake, made with skim milk, chocolate
51207010	Bread, sprouted wheat
92302800	Tea, leaf, decaffeinated, presweetened, NS as to sweetener
58151140	Sushi, with vegetables, rolled in seaweed
92302400	Tea, leaf, presweetened, NS as to sweetener
92301000	Tea, NS as to type, unsweetened
