Food.code	Main.food.description	Old.Main.food.description	FoodID
11000000	Milk_human	Milk_human	11000000.
11100000	Milk_NFS	Milk_NFS	11100000.
11111000	Milk_whole	Milk_whole	11111000.
11111100	Milk_low_sodium_whole	Milk_low_sodium_whole	11111100.
11111150	Milk_calcium_fortified_whole	Milk_calcium_fortified_whole	11111150.
11111160	Milk_calcium_fortified_low_fat_1	Milk_calcium_fortified_low_fat_1	11111160.
11111170	Milk_calcium_fortified_fat_free_skim	Milk_calcium_fortified_fat_free_skim	11111170.
11112110	Milk_reduced_fat_2	Milk_reduced_fat_2	11112110.
11112120	Milk_acidophilus_low_fat_1	Milk_acidophilus_low_fat_1	11112120.
11112130	Milk_acidophilus_reduced_fat_2	Milk_acidophilus_reduced_fat_2	11112130.
11112210	Milk_low_fat_1	Milk_low_fat_1	11112210.
11113000	Milk_fat_free_skim	Milk_fat_free_skim	11113000.
11114300	Milk_lactose_free_low_fat_1	Milk_lactose_free_low_fat_1	11114300.
11114320	Milk_lactose_free_fat_free_skim	Milk_lactose_free_fat_free_skim	11114320.
11114330	Milk_lactose_free_reduced_fat_2	Milk_lactose_free_reduced_fat_2	11114330.
11114350	Milk_lactose_free_whole	Milk_lactose_free_whole	11114350.
11115000	Buttermilk_fat_free_skim	Buttermilk_fat_free_skim	11115000.
11115100	Buttermilk_low_fat_1	Buttermilk_low_fat_1	11115100.
11115200	Buttermilk_reduced_fat_2	Buttermilk_reduced_fat_2	11115200.
11115300	Buttermilk_whole	Buttermilk_whole	11115300.
11115400	Kefir_NS_as_to_fat_content	Kefir_NS_as_to_fat_content	11115400.
11116000	Goats_milk_whole	Goats_milk_whole	11116000.
11120000	Milk_dry_reconstituted_NS_as_to_fat_content	Milk_dry_reconstituted_NS_as_to_fat_content	11120000.
11121100	Milk_dry_reconstituted_whole	Milk_dry_reconstituted_whole	11121100.
11121210	Milk_dry_reconstituted_low_fat_1	Milk_dry_reconstituted_low_fat_1	11121210.
11121300	Milk_dry_reconstituted_fat_free_skim	Milk_dry_reconstituted_fat_free_skim	11121300.
11210050	Milk_evaporated_NS_as_to_fat_content	Milk_evaporated_NS_as_to_fat_content	11210050.
11211050	Milk_evaporated_whole	Milk_evaporated_whole	11211050.
11211400	Milk_evaporated_reduced_fat_2	Milk_evaporated_reduced_fat_2	11211400.
11212050	Milk_evaporated_fat_free_skim	Milk_evaporated_fat_free_skim	11212050.
11220000	Milk_condensed_sweetened	Milk_condensed_sweetened	11220000.
11320000	Soy_milk	Soy_milk	11320000.
11320100	Soy_milk_light	Soy_milk_light	11320100.
11320200	Soy_milk_nonfat	Soy_milk_nonfat	11320200.
11321000	Soy_milk_chocolate	Soy_milk_chocolate	11321000.
11321100	Soy_milk_light_chocolate	Soy_milk_light_chocolate	11321100.
11321200	Soy_milk_nonfat_chocolate	Soy_milk_nonfat_chocolate	11321200.
11340000	Imitation_milk_nonsoy_sweetened	Imitation_milk_nonsoy_sweetened	11340000.
11350000	Almond_milk_sweetened	Almond_milk_sweetened	11350000.
11350010	Almond_milk_sweetened_chocolate	Almond_milk_sweetened_chocolate	11350010.
11350020	Almond_milk_unsweetened	Almond_milk_unsweetened	11350020.
11350030	Almond_milk_unsweetened_chocolate	Almond_milk_unsweetened_chocolate	11350030.
11360000	Rice_milk	Rice_milk	11360000.
11370000	Coconut_milk	Coconut_milk	11370000.
11410000	Yogurt_NS_as_to_type_of_milk_or_flavor	Yogurt_NS_as_to_type_of_milk_or_flavor	11410000.
11411010	Yogurt_plain_NS_as_to_type_of_milk	Yogurt_plain_NS_as_to_type_of_milk	11411010.
11411100	Yogurt_plain_whole_milk	Yogurt_plain_whole_milk	11411100.
11411200	Yogurt_plain_low_fat_milk	Yogurt_plain_low_fat_milk	11411200.
11411300	Yogurt_plain_nonfat_milk	Yogurt_plain_nonfat_milk	11411300.
11411400	Yogurt_Greek_plain_whole_milk	Yogurt_Greek_plain_whole_milk	11411400.
11411410	Yogurt_Greek_plain_low_fat	Yogurt_Greek_plain_low_fat	11411410.
11411420	Yogurt_Greek_plain_nonfat_milk	Yogurt_Greek_plain_nonfat_milk	11411420.
11420000	Yogurt_vanilla_NS_as_to_type_of_milk	Yogurt_vanilla_NS_as_to_type_of_milk	11420000.
11421000	Yogurt_vanilla_whole_milk	Yogurt_vanilla_whole_milk	11421000.
11422000	Yogurt_vanilla_low_fat_milk	Yogurt_vanilla_low_fat_milk	11422000.
11422100	Yogurt_vanilla_low_fat_milk_light	Yogurt_vanilla_low_fat_milk_light	11422100.
11423000	Yogurt_vanilla_nonfat_milk	Yogurt_vanilla_nonfat_milk	11423000.
11424000	Yogurt_vanilla_nonfat_milk_light	Yogurt_vanilla_nonfat_milk_light	11424000.
11424500	Yogurt_Greek_vanilla_whole_milk	Yogurt_Greek_vanilla_whole_milk	11424500.
11424510	Yogurt_Greek_vanilla_low_fat	Yogurt_Greek_vanilla_low_fat	11424510.
11424520	Yogurt_Greek_vanilla_nonfat	Yogurt_Greek_vanilla_nonfat	11424520.
11425000	Yogurt_chocolate_NS_as_to_type_of_milk	Yogurt_chocolate_NS_as_to_type_of_milk	11425000.
11426000	Yogurt_chocolate_whole_milk	Yogurt_chocolate_whole_milk	11426000.
11427000	Yogurt_chocolate_nonfat_milk	Yogurt_chocolate_nonfat_milk	11427000.
11428000	Yogurt_Greek_chocolate_nonfat	Yogurt_Greek_chocolate_nonfat	11428000.
11430000	Yogurt_fruit_NS_as_to_type_of_milk	Yogurt_fruit_NS_as_to_type_of_milk	11430000.
11431000	Yogurt_fruit_whole_milk	Yogurt_fruit_whole_milk	11431000.
11432000	Yogurt_fruit_low_fat_milk	Yogurt_fruit_low_fat_milk	11432000.
11432500	Yogurt_fruit_low_fat_milk_light	Yogurt_fruit_low_fat_milk_light	11432500.
11433000	Yogurt_fruit_nonfat_milk	Yogurt_fruit_nonfat_milk	11433000.
11433500	Yogurt_fruit_nonfat_milk_light	Yogurt_fruit_nonfat_milk_light	11433500.
11434000	Yogurt_Greek_fruit_whole_milk	Yogurt_Greek_fruit_whole_milk	11434000.
11434010	Yogurt_Greek_fruit_low_fat	Yogurt_Greek_fruit_low_fat	11434010.
11434020	Yogurt_Greek_fruit_nonfat	Yogurt_Greek_fruit_nonfat	11434020.
11446000	Fruit_and_low_fat_yogurt_parfait	Fruit_and_low_fat_yogurt_parfait	11446000.
11459990	Yogurt_frozen_NS_as_to_flavor_NS_as_to_type_of_milk	Yogurt_frozen_NS_as_to_flavor_NS_as_to_type_of_milk	11459990.
11460000	Yogurt_frozen_flavors_other_than_chocolate_NS_as_to_type_of_milk	Yogurt_frozen_flavors_other_than_chocolate_NS_as_to_type_of_milk	11460000.
11460100	Yogurt_frozen_chocolate_NS_as_to_type_of_milk	Yogurt_frozen_chocolate_NS_as_to_type_of_milk	11460100.
11460150	Yogurt_frozen_NS_as_to_flavor_lowfat_milk	Yogurt_frozen_NS_as_to_flavor_lowfat_milk	11460150.
11460160	Yogurt_frozen_chocolate_lowfat_milk	Yogurt_frozen_chocolate_lowfat_milk	11460160.
11460170	Yogurt_frozen_flavors_other_than_chocolate_lowfat_milk	Yogurt_frozen_flavors_other_than_chocolate_lowfat_milk	11460170.
11460190	Yogurt_frozen_NS_as_to_flavor_nonfat_milk	Yogurt_frozen_NS_as_to_flavor_nonfat_milk	11460190.
11460200	Yogurt_frozen_chocolate_nonfat_milk	Yogurt_frozen_chocolate_nonfat_milk	11460200.
11460250	Yogurt_frozen_flavors_other_than_chocolate_with_sorbet_or_sorbetcoated	Yogurt_frozen_flavors_other_than_chocolate_with_sorbet_or_sorbetcoated	11460250.
11460300	Yogurt_frozen_flavors_other_than_chocolate_nonfat_milk	Yogurt_frozen_flavors_other_than_chocolate_nonfat_milk	11460300.
11460400	Yogurt_frozen_chocolate_nonfat_milk_with_lowcalorie_sweetener	Yogurt_frozen_chocolate_nonfat_milk_with_lowcalorie_sweetener	11460400.
11460410	Yogurt_frozen_flavors_other_than_chocolate_nonfat_milk_with_lowcalorie_sweetener	Yogurt_frozen_flavors_other_than_chocolate_nonfat_milk_with_lowcalorie_sweetener	11460410.
11460420	Yogurt_frozen_NS_as_to_flavor_whole_milk	Yogurt_frozen_NS_as_to_flavor_whole_milk	11460420.
11460430	Yogurt_frozen_chocolate_whole_milk	Yogurt_frozen_chocolate_whole_milk	11460430.
11460440	Yogurt_frozen_flavors_other_than_chocolate_whole_milk	Yogurt_frozen_flavors_other_than_chocolate_whole_milk	11460440.
11461000	Yogurt_frozen_chocolatecoated	Yogurt_frozen_chocolatecoated	11461000.
11461200	Yogurt_frozen_sandwich	Yogurt_frozen_sandwich	11461200.
11461250	Yogurt_frozen_cone_chocolate	Yogurt_frozen_cone_chocolate	11461250.
11461260	Yogurt_frozen_cone_flavors_other_than_chocolate	Yogurt_frozen_cone_flavors_other_than_chocolate	11461260.
11461270	Yogurt_frozen_cone_flavors_other_than_chocolate_lowfat_milk	Yogurt_frozen_cone_flavors_other_than_chocolate_lowfat_milk	11461270.
11461280	Yogurt_frozen_cone_chocolate_lowfat_milk	Yogurt_frozen_cone_chocolate_lowfat_milk	11461280.
11480010	Yogurt_whole_milk_baby_food	Yogurt_whole_milk_baby_food	11480010.
11480020	Yogurt_whole_milk_baby_food_with_fruit_and_multigrain_cereal_puree_NFS	Yogurt_whole_milk_baby_food_with_fruit_and_multigrain_cereal_puree_NFS	11480020.
11480030	Yogurt_whole_milk_baby_food_with_fruit_and_multigrain_cereal_puree_plus_iron	Yogurt_whole_milk_baby_food_with_fruit_and_multigrain_cereal_puree_plus_iron	11480030.
11480040	Yogurt_whole_milk_baby_food_with_fruit_and_multigrain_cereal_puree_plus_DHA	Yogurt_whole_milk_baby_food_with_fruit_and_multigrain_cereal_puree_plus_DHA	11480040.
11511000	Chocolate_milk_NFS	Chocolate_milk_NFS	11511000.
11511100	Chocolate_milk_ready_to_drink_whole	Chocolate_milk_ready_to_drink_whole	11511100.
11511200	Chocolate_milk_ready_to_drink_reduced_fat_2	Chocolate_milk_ready_to_drink_reduced_fat_2	11511200.
11511300	Chocolate_milk_ready_to_drink_fat_free_skim	Chocolate_milk_ready_to_drink_fat_free_skim	11511300.
11511400	Chocolate_milk_ready_to_drink_low_fat_1	Chocolate_milk_ready_to_drink_low_fat_1	11511400.
11511550	Chocolate_milk_ready_to_drink_reduced_sugar_NS_as_to_milk	Chocolate_milk_ready_to_drink_reduced_sugar_NS_as_to_milk	11511550.
11511600	Nesquik_chocolate_milk_ready_to_drink_low_fat_1	Nesquik_chocolate_milk_ready_to_drink_low_fat_1	11511600.
11511610	Nesquik_chocolate_milk_ready_to_drink_fat_free_skim	Nesquik_chocolate_milk_ready_to_drink_fat_free_skim	11511610.
11511700	Nesquik_chocolate_milk_ready_to_drink_low_fat_1_no_sugar_added	Nesquik_chocolate_milk_ready_to_drink_low_fat_1_no_sugar_added	11511700.
11512010	Hot_chocolate_Cocoa_ready_to_drink	Hot_chocolate__Cocoa_ready_to_drink	11512010.
11512020	Hot_chocolate_Cocoa_ready_to_drink_made_with_nonfat_milk	Hot_chocolate__Cocoa_ready_to_drink_made_with_nonfat_milk	11512020.
11512030	Hot_chocolate_Cocoa_ready_to_drink_made_with_nondairy_milk	Hot_chocolate__Cocoa_ready_to_drink_made_with_nondairy_milk	11512030.
11512100	Hot_chocolate_Cocoa_ready_to_drink_with_whipped_cream	Hot_chocolate__Cocoa_ready_to_drink_with_whipped_cream	11512100.
11512110	Hot_chocolate_Cocoa_ready_to_drink_made_with_nonfat_milk_and_whipped_cream	Hot_chocolate__Cocoa_ready_to_drink_made_with_nonfat_milk_and_whipped_cream	11512110.
11512120	Hot_chocolate_Cocoa_ready_to_drink_made_with_nondairy_milk_and_whipped_cream	Hot_chocolate__Cocoa_ready_to_drink_made_with_nondairy_milk_and_whipped_cream	11512120.
11513000	Chocolate_milk_made_from_dry_mix_NS_as_to_type_of_milk	Chocolate_milk_made_from_dry_mix_NS_as_to_type_of_milk	11513000.
11513100	Chocolate_milk_made_from_dry_mix_with_whole_milk	Chocolate_milk_made_from_dry_mix_with_whole_milk	11513100.
11513150	Chocolate_milk_made_from_dry_mix_with_reduced_fat_milk_2	Chocolate_milk_made_from_dry_mix_with_reduced_fat_milk_2	11513150.
11513200	Chocolate_milk_made_from_dry_mix_with_low_fat_milk_1	Chocolate_milk_made_from_dry_mix_with_low_fat_milk_1	11513200.
11513300	Chocolate_milk_made_from_dry_mix_with_fat_free_milk_skim	Chocolate_milk_made_from_dry_mix_with_fat_free_milk_skim	11513300.
11513310	Chocolate_milk_made_from_dry_mix_with_nondairy_milk	Chocolate_milk_made_from_dry_mix_with_nondairy_milk	11513310.
11513350	Chocolate_milk_made_from_reduced_sugar_mix_NS_as_to_type_of_milk	Chocolate_milk_made_from_reduced_sugar_mix_NS_as_to_type_of_milk	11513350.
11513355	Chocolate_milk_made_from_reduced_sugar_mix_with_whole_milk	Chocolate_milk_made_from_reduced_sugar_mix_with_whole_milk	11513355.
11513360	Chocolate_milk_made_from_reduced_sugar_mix_with_reduced_fat_milk_2	Chocolate_milk_made_from_reduced_sugar_mix_with_reduced_fat_milk_2	11513360.
11513365	Chocolate_milk_made_from_reduced_sugar_mix_with_low_fat_milk_1	Chocolate_milk_made_from_reduced_sugar_mix_with_low_fat_milk_1	11513365.
11513370	Chocolate_milk_made_from_reduced_sugar_mix_with_fat_free_milk_skim	Chocolate_milk_made_from_reduced_sugar_mix_with_fat_free_milk_skim	11513370.
11513375	Chocolate_milk_made_from_reduced_sugar_mix_with_nondairy_milk	Chocolate_milk_made_from_reduced_sugar_mix_with_nondairy_milk	11513375.
11513380	Nesquik_chocolate_milk_made_from_dry_mix_NS_as_to_type_of_milk	Nesquik_chocolate_milk_made_from_dry_mix_NS_as_to_type_of_milk	11513380.
11513381	Nesquik_chocolate_milk_made_from_dry_mix_with_whole_milk	Nesquik_chocolate_milk_made_from_dry_mix_with_whole_milk	11513381.
11513382	Nesquik_chocolate_milk_made_from_dry_mix_with_reduced_fat_milk_2	Nesquik_chocolate_milk_made_from_dry_mix_with_reduced_fat_milk_2	11513382.
11513383	Nesquik_chocolate_milk_made_from_dry_mix_with_low_fat_milk_1	Nesquik_chocolate_milk_made_from_dry_mix_with_low_fat_milk_1	11513383.
11513384	Nesquik_chocolate_milk_made_from_dry_mix_with_fat_free_milk_skim	Nesquik_chocolate_milk_made_from_dry_mix_with_fat_free_milk_skim	11513384.
11513385	Nesquik_chocolate_milk_made_from_dry_mix_with_nondairy_milk	Nesquik_chocolate_milk_made_from_dry_mix_with_nondairy_milk	11513385.
11513390	Nesquik_chocolate_milk_made_from_no_sugar_added_dry_mix_NS_as_to_type_of_milk	Nesquik_chocolate_milk_made_from_no_sugar_added_dry_mix_NS_as_to_type_of_milk	11513390.
11513391	Nesquik_chocolate_milk_made_from_no_sugar_added_dry_mix_with_whole_milk	Nesquik_chocolate_milk_made_from_no_sugar_added_dry_mix_with_whole_milk	11513391.
11513392	Nesquik_chocolate_milk_made_from_no_sugar_added_dry_mix_with_reduced_fat_milk_2	Nesquik_chocolate_milk_made_from_no_sugar_added_dry_mix_with_reduced_fat_milk_2	11513392.
