seqn	sddsrvyr	ridstatr	riagendr	ridageyr	ridagemn	ridreth1	ridreth3	ridexmon	ridexagy	ridexagm	dmqmiliz	dmqadfc	dmdborn4	dmdcitzn	dmdyrsus	dmdeduc3	dmdeduc2	dmdmartl	ridexprg	sialang	siaproxy	siaintrp	fialang	fiaproxy	fiaintrp	mialang	miaproxy	miaintrp	aialanga	wtint2yr	wtmec2yr	sdmvpsu	sdmvstra	indhhin2	indfmin2	indfmpir	dmdhhsiz	dmdfmsiz	dmdhhsza	dmdhhszb	dmdhhsze	dmdhrgnd	dmdhrage	dmdhrbr4	dmdhredu	dmdhrmar	dmdhsedu
62161	7	2	1	22	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	3	5	NA	1	1	2	1	2	2	1	2	2	1	102641.406474	104236.582554	1	91	14	14	3.15	5	5	0	1	0	2	50	1	5	1	5
62164	7	2	2	44	NA	3	3	1	NA	NA	1	2	1	1	NA	NA	4	1	2	1	2	2	1	2	2	NA	NA	NA	NA	127351.373299	127965.226204	1	94	8	8	1.67	5	5	1	2	0	1	52	1	4	1	4
62169	7	2	1	21	NA	5	6	1	NA	NA	2	NA	1	1	NA	NA	3	5	NA	1	2	1	NA	NA	NA	1	2	2	1	14391.77847	14783.600953	1	92	2	2	0.33	5	5	0	1	0	1	51	2	1	4	NA
62172	7	2	2	43	NA	4	4	1	NA	NA	2	NA	1	1	NA	NA	3	5	2	1	2	2	1	2	2	1	2	2	1	26960.774346	27122.911908	2	96	5	5	2.02	1	1	0	0	0	2	43	1	3	5	NA
62174	7	2	1	80	NA	3	3	2	NA	NA	1	1	1	1	NA	NA	5	1	NA	1	2	2	1	2	2	1	2	2	NA	24912.668432	27335.895242	3	90	10	10	4.3	2	2	0	0	2	2	80	1	4	1	5
62176	7	2	2	34	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	5	1	2	1	2	2	1	2	2	1	2	2	1	53830.599426	54203.155016	1	99	15	15	5	5	5	3	0	0	2	34	1	5	1	5
62177	7	2	1	51	NA	5	6	1	NA	NA	2	NA	2	2	3	NA	3	1	NA	1	2	1	1	2	1	NA	NA	NA	NA	7879.750437	7851.284287	2	92	99	77	NA	7	4	3	3	1	1	61	2	1	1	3
62178	7	2	1	80	NA	3	3	2	NA	NA	1	1	1	1	NA	NA	3	2	NA	1	2	2	1	2	2	1	2	2	NA	12291.154515	13189.875012	1	95	1	1	0.05	1	1	0	0	1	1	80	1	3	2	NA
62179	7	2	1	55	NA	5	6	1	NA	NA	2	NA	1	1	NA	NA	5	1	NA	1	2	2	1	2	2	1	2	2	1	16590.074977	17115.36835	1	92	15	15	5	4	4	0	2	0	1	55	1	5	1	5
62180	7	2	1	35	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	5	1	NA	1	2	2	1	2	2	1	2	2	1	20457.614917	22616.494827	1	97	5	5	0.87	4	4	2	0	0	1	35	1	5	1	5
62184	7	2	1	26	NA	4	4	1	NA	NA	2	NA	1	1	NA	NA	3	5	NA	1	2	2	1	2	2	1	2	2	1	15600.678771	15236.26157	2	95	15	15	3.85	7	7	0	3	1	2	62	1	4	2	NA
62189	7	2	2	30	NA	5	6	1	NA	NA	2	NA	1	1	NA	NA	4	1	2	1	2	2	1	2	2	1	2	2	1	17983.231494	18657.922524	1	94	10	10	3.04	4	4	2	0	0	2	30	1	4	1	5
62191	7	2	1	70	NA	4	4	2	NA	NA	1	2	1	1	NA	NA	3	3	NA	1	2	2	1	2	2	1	2	2	NA	8661.769277	9105.621464	1	96	14	3	0.9	2	1	0	0	2	2	71	NA	NA	3	NA
62195	7	2	1	35	NA	4	4	2	NA	NA	2	NA	2	1	4	NA	4	6	NA	1	2	2	1	2	2	NA	NA	NA	NA	15842.100091	16468.990083	2	90	8	6	2.39	4	1	1	1	0	2	21	1	5	6	NA
62199	7	2	1	57	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	5	6	NA	1	2	2	1	2	2	1	2	2	1	127000.852889	130891.431194	2	92	15	15	5	2	1	0	0	0	1	57	1	5	6	NA
62200	7	2	1	42	NA	5	6	2	NA	NA	2	NA	2	1	7	NA	5	1	NA	1	2	2	1	2	2	1	2	2	1	19184.316833	20543.822351	1	97	15	15	4.07	5	5	0	3	0	1	42	2	5	1	5
62202	7	2	1	36	NA	1	1	1	NA	NA	2	NA	1	1	NA	NA	2	1	NA	1	2	2	1	2	2	1	2	2	1	41155.167164	40844.556107	1	102	14	14	2.83	6	6	1	2	0	1	36	1	2	1	3
62205	7	2	1	28	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	5	5	NA	1	2	2	1	2	2	1	2	2	1	103663.693967	105583.964573	1	90	15	15	5	4	4	0	1	0	2	53	1	5	1	5
62206	7	2	2	35	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	4	1	2	1	2	2	1	2	2	NA	NA	NA	NA	67177.369911	67642.297015	3	92	14	14	2.74	6	6	2	2	0	1	35	1	5	1	4
62208	7	2	1	38	NA	2	2	1	NA	NA	2	NA	2	2	3	NA	4	1	NA	2	2	2	1	2	2	1	2	2	2	41241.224595	41216.943466	2	102	7	7	1.53	5	5	1	2	0	2	37	2	4	1	4
62209	7	2	2	62	NA	1	1	1	NA	NA	2	NA	2	2	3	NA	1	4	NA	2	2	2	2	2	2	2	2	2	2	13473.304889	14578.166065	2	96	6	6	1.11	6	6	0	2	1	1	40	2	2	1	2
62214	7	2	2	22	NA	4	4	2	NA	NA	2	NA	1	1	NA	NA	3	4	2	1	2	2	1	2	2	1	2	2	1	18723.98095	21433.166124	2	95	7	7	1.41	5	5	2	0	0	2	53	1	3	3	NA
62215	7	2	2	65	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	129999.035519	129559.2554	1	98	13	13	NA	2	2	0	0	2	2	80	1	2	2	NA
62217	7	2	2	77	NA	1	1	1	NA	NA	2	NA	1	1	NA	NA	1	5	NA	1	2	2	1	2	2	1	2	2	NA	15730.58404	17568.357111	2	98	4	4	0.97	3	3	0	1	1	2	77	1	1	5	NA
62218	7	2	2	38	NA	4	4	1	NA	NA	2	NA	1	1	NA	NA	4	5	3	1	2	2	1	2	2	1	2	2	1	39534.635218	41046.564195	2	102	14	14	4.05	3	3	0	1	0	1	18	1	2	NA	NA
62220	7	2	2	31	NA	4	4	2	NA	NA	2	NA	1	1	NA	NA	5	5	2	1	2	2	1	2	2	1	2	2	1	33193.038733	33538.564898	1	96	9	9	4.92	1	1	0	0	0	2	31	1	5	5	NA
62221	7	2	2	41	NA	4	4	1	NA	NA	2	NA	1	1	NA	NA	5	1	2	1	2	2	1	2	2	1	2	2	1	25818.768393	25697.012112	1	100	14	14	3.6	4	4	1	1	0	1	41	1	4	1	5
62222	7	2	1	32	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	5	1	NA	1	2	2	1	2	2	1	2	2	1	89973.129052	97483.088567	1	93	15	15	5	2	2	0	0	0	2	30	1	5	1	5
62223	7	2	1	54	NA	5	6	2	NA	NA	2	NA	2	1	6	NA	3	1	NA	1	2	2	1	2	2	1	2	2	1	10133.862484	12107.78442	3	90	77	77	NA	3	3	0	1	0	1	54	2	3	1	3
62224	7	2	2	29	NA	2	2	2	NA	NA	2	NA	2	2	4	NA	1	1	2	2	2	2	1	2	2	2	2	2	2	43986.779369	46449.619953	1	93	9	9	2.46	4	4	0	2	0	1	35	2	1	1	1
62226	7	2	1	80	NA	2	2	1	NA	NA	2	NA	2	1	9	NA	4	1	NA	2	2	2	2	2	2	2	2	1	NA	13654.270555	13892.295449	2	93	9	9	3.64	2	2	0	0	2	2	79	2	2	1	4
62227	7	2	1	19	NA	3	3	2	19	235	2	NA	1	1	NA	15	NA	NA	NA	1	2	2	1	2	2	1	2	2	1	68701.580401	72973.564721	2	94	15	15	5	5	5	0	2	0	1	53	1	5	1	5
62228	7	2	1	50	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	5	1	NA	1	2	2	1	2	2	1	2	2	1	144353.133634	144729.952645	1	91	14	14	3.15	5	5	0	1	0	2	50	1	5	1	5
62229	7	2	2	31	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	5	1	2	1	2	2	1	2	2	1	2	2	1	72426.980535	75980.145152	1	98	6	6	1.31	3	3	1	0	0	1	30	1	5	1	5
62230	7	2	1	75	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	1	3	NA	1	2	2	1	2	2	1	2	2	NA	12946.818038	13703.92145	1	101	5	3	1.07	2	1	0	0	2	2	70	1	4	2	NA
62231	7	2	2	48	NA	1	1	1	NA	NA	2	NA	1	1	NA	NA	3	1	NA	1	2	2	1	2	2	1	2	2	1	43535.993088	52686.708499	2	102	15	15	3.92	5	5	0	0	0	1	19	1	4	NA	NA
62232	7	2	2	42	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	4	1	2	1	2	2	1	2	2	1	2	2	1	115926.402585	118970.086068	1	101	14	14	3.3	4	4	0	2	0	2	42	1	4	1	3
62234	7	2	1	23	NA	4	4	2	NA	NA	2	NA	1	1	NA	NA	4	5	NA	1	2	2	1	2	2	1	2	2	1	14860.312419	14555.816778	3	90	15	15	4.89	5	5	0	0	0	2	57	2	3	1	3
62236	7	2	1	61	NA	5	6	2	NA	NA	2	NA	2	1	6	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	9048.959172	9513.611982	1	93	15	15	5	5	5	1	0	1	1	61	2	4	1	4
62237	7	2	2	58	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	5	1	NA	1	2	2	1	2	2	1	2	2	1	140431.173819	139253.659476	1	91	7	7	2.64	2	2	0	0	1	2	58	1	5	1	4
62239	7	2	2	22	NA	2	2	2	NA	NA	2	NA	2	2	2	NA	3	6	2	2	2	2	2	2	2	2	2	2	2	39426.061521	39254.343691	2	94	14	1	0.09	5	1	0	0	0	1	24	2	4	5	NA
62242	7	2	1	24	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	5	5	NA	1	2	2	1	2	2	1	2	2	1	129608.716834	132839.525748	1	100	6	6	1.98	2	2	0	0	0	1	50	1	5	4	NA
62249	7	2	2	26	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	5	5	2	1	2	2	1	2	2	1	2	2	1	59001.303336	59528.815212	2	101	4	4	1.38	1	1	0	0	0	2	26	1	5	5	NA
62250	7	2	1	34	NA	1	1	1	NA	NA	1	2	1	1	NA	NA	5	1	NA	1	2	2	1	2	2	1	2	2	1	51543.062078	52965.08671	3	92	15	15	5	3	3	1	0	0	1	34	1	5	1	5
62251	7	2	2	51	NA	5	6	1	NA	NA	2	NA	2	1	7	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	16672.82247	17074.238333	1	92	12	12	NA	4	4	0	0	0	1	59	2	3	1	4
62253	7	2	1	18	NA	3	3	2	19	228	2	NA	1	1	NA	13	NA	NA	NA	1	2	2	1	2	2	1	2	2	1	68701.580401	72973.564721	2	94	14	14	5	3	3	0	0	0	1	42	1	5	1	5
62255	7	2	1	65	NA	3	3	2	NA	NA	1	2	1	1	NA	NA	3	1	NA	1	2	2	1	2	2	1	2	2	1	29731.886612	29889.869541	1	95	3	3	0.87	2	2	0	0	2	2	65	1	2	1	3
62256	7	2	1	80	NA	3	3	2	NA	NA	1	2	1	1	NA	NA	1	1	NA	1	2	2	1	2	2	1	2	2	NA	7911.357817	9487.389486	2	94	5	5	1.63	2	2	0	0	2	2	79	1	3	1	1
62259	7	2	1	61	NA	4	4	2	NA	NA	1	2	1	1	NA	NA	4	3	NA	1	2	2	1	2	2	1	2	2	1	7736.56115	7645.782314	1	99	4	2	0.87	2	1	0	0	1	2	59	1	3	3	NA
62261	7	2	1	47	NA	2	2	1	NA	NA	2	NA	2	1	6	NA	4	1	NA	1	2	2	1	2	2	2	2	2	2	33029.272844	33366.323953	2	93	14	14	3.25	4	4	0	2	0	2	46	2	5	1	4
62264	7	2	1	77	NA	3	3	2	NA	NA	1	2	1	1	NA	NA	2	1	NA	1	2	2	1	2	2	1	2	2	NA	52448.388619	55291.886181	1	99	7	7	2.72	2	2	0	0	2	1	77	1	2	1	3
62265	7	2	1	52	NA	3	3	2	NA	NA	1	2	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	1	19478.845078	19591.5023	2	95	7	7	1.13	6	6	0	3	1	1	52	1	4	1	4
62266	7	2	1	64	NA	3	3	2	NA	NA	2	NA	2	1	6	NA	5	3	NA	1	2	2	1	2	2	1	2	2	1	29999.543427	30837.648113	2	91	12	5	1.79	3	1	0	0	1	1	52	1	4	3	NA
62267	7	2	2	27	NA	3	3	2	NA	NA	2	NA	1	1	NA	NA	4	1	2	1	2	2	1	2	2	1	2	2	1	34430.806911	35615.742482	2	95	6	6	1.08	4	4	1	1	0	1	39	1	4	1	4
62270	7	2	2	33	NA	2	2	1	NA	NA	2	NA	2	2	2	NA	5	5	2	2	2	2	1	2	2	2	2	2	2	31765.061314	30907.973228	2	93	4	4	0.56	5	5	0	0	0	2	49	2	2	5	NA
62275	7	2	2	41	NA	5	6	2	NA	NA	2	NA	2	1	8	NA	5	5	2	1	2	2	1	2	2	1	2	2	1	14442.406316	14518.77693	2	99	15	15	5	1	1	0	0	0	2	41	2	5	5	NA
62277	7	2	2	55	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	4	3	NA	1	2	2	1	2	2	1	2	2	1	139343.551779	140618.30879	2	98	9	9	5	1	1	0	0	0	2	55	1	4	3	NA
62278	7	2	2	72	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	NA	62212.598767	64340.261278	1	94	7	7	2.51	2	2	0	0	2	2	72	1	4	1	1
62279	7	2	1	80	NA	4	4	2	NA	NA	1	2	1	1	NA	NA	2	2	NA	1	2	2	1	2	2	1	2	2	NA	9456.784526	9941.375417	2	99	13	13	NA	3	3	0	0	1	1	80	1	2	2	NA
62280	7	2	2	54	NA	4	4	1	NA	NA	2	NA	1	1	NA	NA	4	2	NA	1	2	2	1	2	2	1	2	2	1	16966.723528	16502.38463	2	95	6	6	1.7	2	2	0	0	0	2	54	1	4	2	NA
62282	7	2	2	57	NA	4	4	1	NA	NA	2	NA	1	1	NA	NA	5	3	NA	1	2	2	1	2	2	1	2	2	1	21219.116826	20638.40003	1	102	6	6	1.7	2	2	0	0	1	2	80	NA	NA	2	NA
62284	7	2	2	64	NA	3	3	1	NA	NA	2	NA	1	1	NA	NA	5	1	NA	1	2	2	1	2	2	1	2	2	1	117778.281347	120111.495123	1	94	8	8	2.41	3	3	0	0	3	1	63	1	4	1	5
62286	7	2	1	30	NA	4	4	2	NA	NA	2	NA	1	1	NA	NA	3	5	NA	1	2	2	1	2	2	1	2	2	1	12556.207754	12615.022145	2	99	NA	77	NA	7	7	1	0	1	2	51	1	2	1	3
62287	7	2	2	73	NA	4	4	1	NA	NA	2	NA	1	1	NA	NA	4	1	NA	1	2	2	1	2	2	1	2	2	NA	12183.823561	12607.778632	2	100	6	6	2.11	2	2	0	0	2	1	79	1	3	1	4
